,A1,A2,E1,E2
0,0.0,0.0,0.0,0.0
12,-1.7157830400115393,-9.803724136436983e-14,3.434164648484493,3.175423399405501e-13
24,-1.4284453190827517,-6.846470259837429e-14,3.255127786019196,8.87027891191678e-14
36,-1.116019567010398,0.0,2.7295915923156304,1.238919005099074e-13
48,-0.8374706799024361,1.669506128762664e-14,2.1418036019528977,8.652040800732798e-14
60,-0.6111642579507317,2.3318126663127504e-14,1.611852503220635,2.416875024418854e-13
72,-0.4369881399661882,8.538167209198215e-12,1.1787027753037227,-4.127283294436632e-11
84,-0.30760551007476855,5.376755045914545e-12,0.8440800921294235,-2.5997269812769974e-11
96,-0.21387503360715546,3.4549056514333923e-12,0.5948770181209361,-1.6770660535241275e-11
97,0.0,0.0,0.0,0.0
109,0.7485234562716587,-1.1227536196660166,-1.508893579232011,4.339121935407027
121,0.3970642500803834,-1.2468691849065128,-1.175456551258759,5.344628173994517
133,0.05969170206811378,-1.3680410193636805,-0.5528171741605695,6.3053273048226055
145,-0.20977679218003137,-1.4721636689191295,0.06151997960858448,7.138961991393876
157,-0.40135341993146,-1.5531297226056584,0.5557795892349661,7.8112320227721925
169,-0.5234531940957063,-1.6094334428696009,0.906216334535588,8.31533341765097
181,-0.5903739830948659,-1.642099836427274,1.126557596774638,8.659491454492159
193,-0.6165835813387086,-1.653436296321052,1.242986862434301,8.859453834791795
194,0.0,0.0,0.0,0.0
206,0.9672595837398802,1.1227536196661145,-1.9252710692524817,-4.339121935407343
218,1.0313810690023681,1.2468691849065812,-2.0796712347604367,-5.344628173994605
230,1.056327864942284,1.3680410193636803,-2.176774418155061,-6.30532730482273
242,1.0472474720824672,1.4721636689191124,-2.2033235815614813,-7.138961991393961
254,1.0125176778821916,1.553129722605635,-2.167632092455601,-7.811232022772433
266,0.9604413340618948,1.609433442861063,-2.084919109839311,-8.315333417609702
278,0.8979794931696345,1.6420998364218975,-1.9706376889040613,-8.659491454466162
290,0.830458614945864,1.6534362963175977,-1.8378638805552374,-8.859453834775026
